time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:07:05    47.8844;  10.3372;  283.487;
15:07:09    47.8836;  10.3327;  283.483;
15:07:12    47.8852;  10.3413;  283.491;
15:07:16    47.8842;  10.336;  283.486;
15:07:19    47.8828;  10.3284;  283.478;
15:07:22    47.8835;  10.332;  283.482;
15:07:26    47.8839;  10.3343;  283.484;
15:07:29    47.8839;  10.3345;  283.484;
15:07:33    47.8832;  10.3306;  283.481;
15:07:36    47.8844;  10.3371;  283.487;
15:07:39    47.8825;  10.3264;  283.476;
15:07:43    47.8833;  10.331;  283.481;
15:07:46    47.8832;  10.3302;  283.48;
15:07:50    47.8843;  10.3366;  283.487;
15:07:53    47.8838;  10.3335;  283.483;
15:07:57    47.8849;  10.34;  283.49;
15:08:00    47.8838;  10.3338;  283.484;
15:08:03    47.8842;  10.3357;  283.486;
15:08:07    47.884;  10.3346;  283.485;
15:08:10    47.8853;  10.3419;  283.492;
15:08:14    47.8833;  10.3308;  283.481;
15:08:17    47.8842;  10.3361;  283.486;
15:08:21    47.8854;  10.3424;  283.492;
15:08:24    47.8856;  10.3434;  283.493;
15:08:27    47.8834;  10.3316;  283.482;
15:08:31    47.8843;  10.3362;  283.486;
15:08:34    47.8846;  10.3383;  283.488;
15:08:38    47.884;  10.3346;  283.485;
15:08:41    47.8837;  10.3332;  283.483;
15:08:45    47.8844;  10.337;  283.487;
15:08:48    47.8844;  10.3368;  283.487;
15:08:51    47.8848;  10.3391;  283.489;
15:08:55    47.8842;  10.3359;  283.486;
15:08:58    47.8836;  10.3326;  283.483;
15:09:02    47.8826;  10.3269;  283.477;
15:09:05    47.8839;  10.3345;  283.484;
15:09:08    47.8854;  10.3428;  283.493;
15:09:12    47.8834;  10.3315;  283.482;
15:09:15    47.8845;  10.3378;  283.488;
15:09:19    47.8832;  10.3306;  283.481;
15:09:22    47.8823;  10.3257;  283.476;
15:09:26    47.8844;  10.3372;  283.487;
15:09:29    47.8835;  10.3321;  283.482;
15:09:32    47.8846;  10.3379;  283.488;
15:09:36    47.8844;  10.3372;  283.487;
15:09:39    47.8826;  10.327;  283.477;
15:09:43    47.8826;  10.327;  283.477;
15:09:46    47.8851;  10.3406;  283.491;
15:09:49    47.8852;  10.3415;  283.492;
15:09:53    47.8834;  10.3316;  283.482;
15:09:56    47.8841;  10.3353;  283.485;
15:10:00    47.8825;  10.3266;  283.477;
15:10:03    47.8871;  10.3517;  283.502;
15:10:07    47.8875;  10.354;  283.504;
15:10:10    47.8863;  10.3476;  283.498;
15:10:13    47.886;  10.346;  283.496;
15:10:17    47.8871;  10.3516;  283.502;
