time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:11:51    47.8871;  10.3521;  283.502;
14:11:55    47.8875;  10.3542;  283.504;
14:11:58    47.8859;  10.3451;  283.495;
14:12:01    47.8866;  10.3492;  283.499;
14:12:05    47.8868;  10.3501;  283.5;
14:12:08    47.8878;  10.3559;  283.506;
14:12:12    47.8858;  10.3446;  283.495;
14:12:15    47.8875;  10.3542;  283.504;
14:12:18    47.8857;  10.3441;  283.494;
14:12:22    47.8857;  10.344;  283.494;
14:12:25    47.8857;  10.3444;  283.494;
14:12:29    47.8861;  10.3466;  283.497;
14:12:32    47.8872;  10.3523;  283.502;
14:12:35    47.8866;  10.3493;  283.499;
14:12:39    47.8874;  10.3533;  283.503;
14:12:42    47.8867;  10.3498;  283.5;
14:12:46    47.8864;  10.3479;  283.498;
14:12:49    47.8855;  10.3431;  283.493;
14:12:52    47.888;  10.357;  283.507;
14:12:56    47.886;  10.3456;  283.496;
14:12:59    47.8852;  10.3412;  283.491;
14:13:03    47.8866;  10.3494;  283.499;
14:13:06    47.8858;  10.3449;  283.495;
14:13:09    47.8856;  10.3439;  283.494;
14:13:13    47.8874;  10.3535;  283.504;
14:13:16    47.8873;  10.353;  283.503;
14:13:20    47.8867;  10.3496;  283.5;
14:13:23    47.8855;  10.343;  283.493;
14:13:27    47.8853;  10.3421;  283.492;
14:13:30    47.8866;  10.3491;  283.499;
14:13:34    47.8866;  10.3491;  283.499;
14:13:37    47.8847;  10.3387;  283.489;
14:13:40    47.8881;  10.3574;  283.507;
14:13:44    47.8896;  10.3655;  283.515;
14:13:47    47.8851;  10.3407;  283.491;
14:13:51    47.885;  10.3403;  283.49;
14:13:54    47.8859;  10.3452;  283.495;
14:13:57    47.885;  10.3403;  283.49;
14:14:01    47.8871;  10.3517;  283.502;
14:14:04    47.8873;  10.353;  283.503;
14:14:08    47.8874;  10.3536;  283.504;
14:14:11    47.8876;  10.3547;  283.505;
14:14:15    47.8879;  10.3562;  283.506;
14:14:18    47.8881;  10.3571;  283.507;
14:14:21    47.8869;  10.3509;  283.501;
14:14:25    47.8866;  10.349;  283.499;
14:14:28    47.8875;  10.3541;  283.504;
14:14:32    47.8865;  10.3485;  283.498;
14:14:35    47.8863;  10.3476;  283.498;
14:14:38    47.8859;  10.3453;  283.495;
14:14:42    47.8876;  10.3545;  283.504;
14:14:45    47.8862;  10.3467;  283.497;
14:14:49    47.8854;  10.3427;  283.493;
14:14:52    47.8861;  10.3464;  283.496;
14:14:55    47.8871;  10.3516;  283.502;
14:14:59    47.8867;  10.3496;  283.5;
14:15:02    47.8857;  10.3442;  283.494;
14:15:06    47.8855;  10.343;  283.493;
14:15:09    47.8868;  10.3503;  283.5;
14:15:13    47.8875;  10.354;  283.504;
14:15:16    47.8855;  10.343;  283.493;
14:15:19    47.887;  10.351;  283.501;
14:15:23    47.8868;  10.3501;  283.5;
14:15:26    47.8868;  10.3501;  283.5;
14:15:30    47.8868;  10.3503;  283.5;
14:15:33    47.8867;  10.3499;  283.5;
14:15:36    47.8875;  10.3543;  283.504;
14:15:40    47.8861;  10.3461;  283.496;
14:15:43    47.8863;  10.3476;  283.498;
14:15:47    47.8872;  10.3523;  283.502;
14:15:50    47.8887;  10.3604;  283.51;
14:15:54    47.8869;  10.3506;  283.501;
14:15:57    47.8874;  10.3533;  283.503;
14:16:00    47.8841;  10.3356;  283.486;
14:16:04    47.8865;  10.3487;  283.499;
14:16:07    47.8871;  10.3517;  283.502;
14:16:11    47.8868;  10.35;  283.5;
14:16:14    47.886;  10.3459;  283.496;
14:16:18    47.8872;  10.3524;  283.502;
14:16:21    47.8864;  10.3478;  283.498;
14:16:24    47.8868;  10.3503;  283.5;
14:16:28    47.8875;  10.354;  283.504;
14:16:31    47.8867;  10.3496;  283.5;
14:16:35    47.8864;  10.3478;  283.498;
14:16:38    47.8867;  10.3498;  283.5;
14:16:41    47.8887;  10.3609;  283.511;
14:16:45    47.8885;  10.3594;  283.509;
14:16:48    47.8876;  10.3547;  283.505;
14:16:52    47.8875;  10.3543;  283.504;
14:16:55    47.8869;  10.3507;  283.501;
14:16:58    47.8881;  10.3573;  283.507;
14:17:02    47.8887;  10.3604;  283.51;
14:17:05    47.8888;  10.361;  283.511;
14:17:09    47.8874;  10.3535;  283.504;
14:17:12    47.8869;  10.3506;  283.501;
14:17:15    47.8871;  10.352;  283.502;
14:17:19    47.8885;  10.3596;  283.51;
14:17:22    47.8871;  10.3519;  283.502;
14:17:26    47.8889;  10.3615;  283.511;
14:17:29    47.8888;  10.3614;  283.511;
14:17:33    47.8873;  10.3527;  283.503;
14:17:36    47.8866;  10.3493;  283.499;
14:17:39    47.8872;  10.3525;  283.503;
14:17:43    47.8885;  10.3593;  283.509;
14:17:46    47.8878;  10.3557;  283.506;
14:17:50    47.8857;  10.3441;  283.494;
14:17:53    47.8886;  10.3602;  283.51;
